source,target
Autodesk Material Library,Autodesk Material Library
Autodesk Network License Manager,Autodesk Network License Manager
Autodesk Official Training Courseware,Autodesk Official Training Courseware (AOTC)
Autodesk Official Training Guides,Autodesk Official Training Guides
Autodesk Online Store,Autodesk-Online-Shop
Autodesk Online Testing Service,Autodesk Online Testing Service
Autodesk Panorama,Autodesk Panorama
Autodesk Partner Manager,Autodesk Partner Manager
Autodesk Partner Marketing Platform,Autodesk Partner Marketing Platform
Autodesk Partner Portal,Autodesk Partner Portal
Autodesk Partner Program,Autodesk-Partnerprogramm
Autodesk Partner Specializations,Autodesk-Partnerspezialisierungen
Autodesk Per-Incident Support,Autodesk-Support auf Einzelfallbasis
Autodesk Platinum partner,Autodesk Platinum Partner
Autodesk Portfolio,Autodesk-Portfolio
Autodesk Preferred Industry Partner,Autodesk Preferred Industry Partner
Autodesk Premier Solutions Provider,Autodesk Premier Solutions Provider
Autodesk Privacy Statement,Autodesk-Datenschutzerklärung
Autodesk Prodsmart,Autodesk Prodsmart
Autodesk Professional Excellence,Autodesk Professional Excellence (APEX)
Autodesk Renovation and Retrofit Playbook,Autodesk-Kompendium zu Renovierung und Nachrüstung
Autodesk reseller,Autodesk-Fachhändler
Autodesk Retirement Program,Autodesk Retirement-Programm
Autodesk Retopology Tools for 3ds Max,Autodesk Retopology Tools for 3ds Max
Autodesk Revit 2019 Add-In,Autodesk Revit 2019 Add-In
Autodesk Route 66 Professional Skills Training,Autodesk Route 66-Schulung zur beruflichen Qualifikation
Autodesk Sales Development Fund,Autodesk Sales Development Fund
Autodesk sales representative,Autodesk-Verkaufsberater
Autodesk Services and Support,Service- und Supportleistungen von Autodesk
Autodesk Services Marketplace,Autodesk Services Marketplace
Autodesk Shape Manager,Autodesk Shape Manager
Autodesk Sign In Help,Hilfe zum Anmelden bei Autodesk
Autodesk Silver partner,Autodesk Silver Partner
Autodesk software,Autodesk-Lösungen
Autodesk software license,Autodesk-Softwarelizenz
Autodesk Software License Agreement,Software-Lizenzvertrag von Autodesk
Autodesk solution for Digital Prototyping,Autodesk-Lösung für die digitale Produktentwicklung
Autodesk Store,Autodesk-Online-Shop
Autodesk Streamline,Autodesk Streamline
Autodesk suite,Autodesk-Suites
Autodesk support agent,Autodesk-Supportmitarbeiter
Autodesk Sustainable Design Center,Autodesk Sustainable Design Center
Autodesk Sync,Autodesk Sync
Autodesk Training Center,Autodesk Training Center
Autodesk Trust Center,Autodesk Trust Center
Autodesk uninstall tool,Autodesk-Deinstallationswerkzeug
Autodesk University,Autodesk University
Autodesk University Virtual,Autodesk University Virtual
Autodesk Upgrade and Retirement Program,Autodesk Upgrade and Retirement Program
Autodesk User Group International,Autodesk User Group International (AUGI)
Autodesk Value Added Reseller,Autodesk-Fachhändler
Autodesk Value Added Reseller Agreement,Autodesk-VAR-Vertrag
Autodesk Vault,Autodesk Vault
Autodesk Vault Office,Autodesk Vault Office
Autodesk Virtual Classroom Training,Autodesk Virtual Classroom Training
"Autodesk® Architecture, Engineering & Construction Collection","Autodesk® Architecture, Engineering & Construction Collection"
Autodesk® Media & Entertainment Collection,Autodesk® Media & Entertainment Collection
Autodesk® Product Design & Manufacturing Collection,Autodesk® Product Design & Manufacturing Collection
Autodesk® Product Design and Manufacturing Collection,Autodesk® Product Design and Manufacturing Collection
Autodesk® Product Design Collection,Autodesk® Product Design Collection
auto-fulfilment,automatische Aktualisierung
automatic renewal,automatische Verlängerung
automotive component design,KFZ-Komponentendesign
automotive supply chain,Automobilzulieferkette
auto-renewal,automatische Verlängerung
Available languages,Verfügbare Sprachen
Avaliações gratuitas,Kostenlose Testversionen
AVAR,AVAR
axis offset,Achsenabstand
axis tripod icon,Achsensymbol
Backburner,Backburner
backface cull,Rückseiten-Ausschlussverfahren
Background Reactor,Background Reactor
Baseline Features,grundlegende Funktionen
baseline recommendation,grundlegende Empfehlung
basic tooltip,Basis-QuickInfo
batch file,Stapeldatei
Be BIM Ready,Bereit für BIM
benchmark report,Benchmark-Report
Benefit Guide,Benefit Guide (Leitfaden zu Programmleistungen und -vorteilen)
best practice,Best Practice
Better by Design,Better By Design
Beyond Trust,Beyond Trust
billing settings,Abrechnungseinstellungen
BIM,BIM
BIM 360,BIM 360
BIM Adoption and Change Management services,BIM Adoption and Change Management Services
BIM Enterprise Execution Plan,BIM Enterprise Execution Plan
BIM for Structural Engineering Curriculum,BIM-Curriculum für konstruktiven Ingenieurbau
BIM Implementation and Integration Services,BIM Implementation and Integration Services
BIM Knowledge Package,BIM-Infopaket
BIM Standards and Processes services,BIM Standards and Processes Services
BIM Strategy services,BIM Strategy Services
biomimicry,Biomimetik
bioplastics,Biokunststoff
bioswale,Muldenentwässerung
Bitmap Pager,Bitmap-Pager
Blackmagic UltraStudio Express,Blackmagic UltraStudio Express
blend,Verschmelzung
blobby effect,Blobby-Effekt
blog,Blog
BlueSnap,BlueSnap
boilerplate,Boilerplate
Boot Camp,Boot Camp
boot sector,Boot-Sektor
bounding box,Begrenzungsrahmen
box shot,Boxshot
boxed shipment,Zustellung auf Datenträger
boxed software,Software auf Datenträgern
boxshot,Boxshot
BPT,BPT
Brainshark,Brainshark
brandable static and flash banner,Branding-fähige  statische und Flash-Banner
brick soldier course,Ziegelgrenadierschicht
Bridge Design for InfraWorks 360,Bridge Design for InfraWorks 360
brightness,Helligkeit
broadcast,TV
Browser Download method,Browser-Download-Verfahren
building component,Gebäudekomponente
building design,Gebäudeplanung
building engineering,Ingenieurbau
building equipment,Gebäudeausrüstung
Building Industry Strategy & Relations,Building Industry Strategy & Relations
building product,Bauprodukt
building products manufacturer,Hersteller von Bauprodukten
Business Development,Geschäftsentwicklung
business ethics,Geschäftsethik
business plan,Geschäftsplan
Business Planning Tool,Business Planning Tool
business process,Geschäftsprozess
business purpose,Geschäftszweck
business record,Geschäftsunterlagen
business relationship,Geschäftsbeziehung
Buy,Kaufen
Buy Now,Jetzt kaufen
Buy Online,Online kaufen
CAD,CAD
CAE,CAE
calculator,Taschenrechner
Call to Action,Call-to-Action
callout,Beschriftung
call-out,Beschriftung
CAM,CAM
camera animation,Kameraanimation
carbon emission analysis,Kohlendioxid-Emissionsanalyse
Careers,Karriere
Cartesian,Kartesisch
cascade,Überlappend
cascade licensing,Kaskaden-Lizenzierung
cascading sequence,Kaskadierungssequenz
case ID,Supportfallnummer
Case studies,Kunden und Projekte
case study,Fallstudien
cavernous part,Hohler Teil
CDF,CDF
CEC,Weiterbildungspunkt
Celebrating Creativity,Fokus Kreativität
central file,zentrale Datei
certification exam,Zertifizierungsprüfung
Certification Team,Zertifizierungsteam
Certified Associate,Certified Associate
certified hardware,zertifizierte Hardware
CFD,CFD
CFD Advanced,CFD Advanced
CFD Motion,CFD Motion
channel development,Vertriebskanalentwicklung
Channel Development Fund,Channel Development Fund
Channel Incentive program,Channel Incentive-Programm
Channel Management,Channel Management
channel partner,Vertriebspartner
character designer,Charakterdesigner
Character Generator,Character Generator
cheat sheet,Kurzübersicht
cheatsheet,Kurzübersicht
Chief Education Officer,Chief Education Officer
chief executive officer,Chief Executive Officer
chief financial officer,Chief Financial Officer
chief legal officer,Chief Legal Officer
Chief Technical Officer,Chief Technical Officer
cinematic-quality,Kinoqualität
CIP,CIP
Civil Engineering Curriculum,Civil Engineering Curriculum
clean install,saubere Installation
clean removal,saubere Deinstallation
clean tech,Clean Tech
clean technology innovator,Clean-Tech-Innovator
clean uninstall,saubere Deinstallation
Client Relations Team,Client Relations Team
clip plane,Schnittebene
clipping boundary,Zuschneideumgrenzung
closed end,geschlossenes Ende
cloud credits,Cloud-Punkte
cloud credits allocation,Zuteilung von Cloud-Punkten
cloud services,Cloud-Services
cloud storage,Cloud-Speicherung
cloud unit,Cloud-Einheit
coarse,grob
