source,target
Project Simulus,Project Simulus
projected coordinate system,投影座標系統
properties inspector,性質視察器
property line,地界線
protective,保護裝置
prototype drawing,原型圖面
Push to Autodesk Docs,推送到 Autodesk Docs
PUSHTODOCSCLOSE,PUSHTODOCSCLOSE
PUSHTODOCSOPEN,PUSHTODOCSOPEN
quick dimension,快速標註
QuickCalc,快速計算器
rapid prototyping,快速原型製作
rasterize,點陣化
reality capture,實景擷取
recent blocks list,最近使用的圖塊清單
recent blocks location,最近使用的圖塊位置
recloser,復閉器
reference constraint,參考約束
reference frame,參考框
reference grid,參考網格
Reference Manager,參考管理員
reference record,參考記錄
refinement,細分
reflection map,反射貼圖
refraction index,折射率
regulator,調節器
relax constraint,放鬆約束
render context,彩現描述表
render preset,彩現預置
Report Designer,報告設計器
report generator,報告產生器
representation string,表現法字串
request code,需求碼
reservoir,水庫
restrictor,限流器
retention tank,留存槽
return date,歸還日期
REVCLOUDPROPERTIES,REVCLOUDPROPERTIES
rewind history,倒轉歷程
ribbon panel,功能區面板
riser,豎板
roll open,展開
rollback,撤回
rotation angle,旋轉角度
rule base,規則庫
sample point,取樣點
scale factor height,比例係數高度
schema,架構
schematic component,線路圖元件
schematic diagram,三相線路圖
schematic feature,線路圖圖徵
schematic symbol,示意圖符號
screening,篩選
section boundary,剖面邊界
section object,剖面物件
section plane,剖面平面
section view,剖面視圖
self-intersecting polygon,自交多邊形
septic tank,化糞池
sequential search,循序搜尋
service point,服務點
shade plot mode,描影出圖模式
ShapeManager,ShapeManager
sheet set manager,圖紙集管理員
sheet subset,圖紙子集
shortcut function,捷徑函數
shut off valve,停止閥
site point,基地點
SketchUp,SketchUp
sleeve,套筒
smart block,智慧圖塊
snap angle,鎖點角度
snap grid,鎖點格線
solid,實體
solid primitive,實體基本圖元
sortents table,sortents 表格
spark gap,火花間隙
spline,雲形線
split point,分割點
split rivet,一般用途扁圓頭開口鉚釘
SSM,SSM
standard deviation,標準偏差
Start In folder,「開始位置」資料夾
Start tab,「開始」頁籤
station summary,樁號摘要
still image,靜態影像
still-image,靜態影像
stitch,縫合
Stock Tool,常備工具
stop condition,停止條件
straddle,跨
stretch action,拉伸動作
stretch frame,拉伸框
structure,建築物
student version,學生版
stylus,手寫筆
subdivision mesh,細分網面
subdivision surface,細分曲面
substation,變電所
supply zone,供氣區域
surface analysis,曲面分析
surface indication leader,表面指示引線
surface normal,曲面法線
sweep path,掃掠路徑
switchable,可切換
switchgear,開關裝置
swivel,迴旋
tab page,頁籤頁面
tablespace,表格空間
tabulated mesh,板展網面
taper,推拔
template manager,樣板管理員
termination,終端
Terrain Point Pro,輪廓地形點
tessellation,鑲嵌
TEXTALIGN,TEXTALIGN
tile order,鋪貼順序
tile size,鋪貼區域大小
time server,時間伺服器
timeline,時間軸線
tint color,染色
title block,標題欄框
tolerance,公差
tool palette,工具選項板
tool palette set,工具選項板集
toolpath,刀具路徑
top view,上視圖
topic,主題
topology,拓樸
torus,圓環
Tour Building wheel,導覽建築操控盤
tower,塔
trace direction,追蹤方向
trace feature,追蹤功能
TRACEBACK,TRACEBACK
TRACEFRONT,TRACEFRONT
TRACEPALETTECLOSE,TRACEPALETTECLOSE
TRACEPALETTEOPEN,TRACEPALETTEOPEN
trackpad,觸控式軌跡板
transaction,交易
transformer,變壓器
translucency,半透明度
transmittal package,傳送套件
transmittal setup,傳送設置
tray,狀態匣
treatment plant,處理廠
trellis,格子
trial version,試用版
triangulate,分成三角形
trigger,觸發器
trim,修剪
UCS,USC
underconstrained,約束不足
underlay,參考底圖
up direction,向上方向
upstream,上游
User Coordinate System,使用者座標系統
utility,公用設施
UV space,UV 空間
VERSIONCOMPARE,VERSIONCOMPARE
vertex,頂點
vertex bulge,頂點凸度
View Object wheel,檢視物件操控盤
visor,遮板
VLIDE command,VLIDE 指令
Volo View Express,Volo View Express
VP freeze,視點凍結
VPEDIT,VPEDIT
walk,漫遊
waste water,廢水
watched folder,關注的資料夾
water fixture unit,水裝置單元
watermark editor,浮水印編輯器
watertight,無縫
WCS,WCS
web light,網光源
web mapping service,網路地圖服務
welcome screen,歡迎畫面
wildcard,萬用字元
winding fill,捲繞填滿
wipeout object,遮蔽物件
wireframe,線架構
World Coordinate System,世界座標系統
world space,世界空間
XCOMPARE,XCOMPARE
XCOMPARECLOSE,XCOMPARECLOSE
XCOMPARERCNEXT,XCOMPARERCNEXT
XCOMPARERCPREV,XCOMPARERCPREV
XSL,XSL
zebra analysis,斑馬紋分析
zipped KML file,壓縮的 KML 檔案
zoom in,拉近
zoom invariant,縮放不變體
zoom out,拉遠
