source,target
기본 라이센스,primary license
기본 툴팁,basic tooltip
기술 마케팅 매니저,Technical Marketing Manager
기술 서비스 매니저,Technical Services Manager
기술 영업,Technical Sales
기술 자료,Knowledge Base
기술 지원,tech support
기술 프리뷰,technology preview
기업 윤리,business ethics
기준 좌표계,coordinate reference system
기하학적 치수기입 및 공차기입 기호,geometric dimensioning and tolerancing symbol
기호,signage
기회 관리,opportunity management
깜박임,flicker
나의 비용 절감 계산하기,Calculate my savings
나침반,compass
"난방, 통풍 및 공기 조절","heating, ventilation and air conditioning"
내 계정,My Account
내 정보,My Insights
내 제품,My Products
내 프로파일,My Profile
내부 블록 편집기,In-Place Block Editor
내부자 거래,insider trading
네트워크 ID,network identity
네트워크 내결함성,network fault tolerance
네트워크 대역폭,network bandwidth
네트워크 라이선스 보고 서비스,Network License Reporting Service
네트워크 라이센스 서버,network license server
네트워크 배치 이미지,network deployment image
네트워크 배포,network deployment
네트워크 어댑터,network adapter
네트워크 인터페이스 카드,network interface card
네트워크 주소 변환,network address translation
네트워크 카드,network card
네트워크에 연결된 저장소,Network Attached Storage
높은 동적 범위 이미지,high dynamic range imaging
높은 수준 셰이더 언어,high-level shader language
높은 시각적 품질,High Visual Quality
뉴스 속의 오토데스크,Autodesk in the News
다년 서브스크립션 계약,multi-year subscription contract
다년(multi-year),multi-year
다단계 인증,multi-factor authentication
다시 로드,reload
다운로드 방법,download method
다중 뷰 블록,multi-view block
다중 스레딩,multithreading
다중 코어 프로세서,multi-core processor
다중(multi) 시트 단품 라이센스,multi-seat stand-alone license
다중(multi) 시트 라이센스,multi-seat license
단계별 지침,step-by-step instruction
단색,monochrome
단위 축척,unit scaling
단일 데이터스텝,single datastep
단일 라이센스 관리자,Single License Manager
단일 로그온,single sign-on
단일 사용자,single-user
단일 사용자 라이센스,single-user license
단일 사용자 서브스크립션,single-user subscription
단일 사용자 액세스,single-user access
단일 시트 라이센스,single-seat license
단품 제품,individual product
닫힌 끝,closed end
대량 사용자화,mass customization
대체 배포 방법,Alternative Distribution Methods
대화식 PDF,interactive PDF
더 빠르게 우수한 디자인 제작,Accelerate Better Design
덕트,duct
덮어쓰기,overwrite
데모,demo
데모 동영상,demo video
데모 비네트,demo vignette
데몬,daemon
데스크톱 앱,desktop app
데이터 강화,data enrichment
데이터 보호,data protection
데이터 사일로,data silo
데이터 센터,data center
데이터 이동성,data portability
데이터 중력,data gravity
데이터 피팅,data fitting
데이터 획득,data acquisition
도구 키트,toolkit
도구막대,toolbar
도면 복구 관리자,Drawing Recovery Manager
도시 계획,urban planning
독립 소프트웨어 공급업체,independent software vendor
독립 실행형 사용자,stand-alone user
독립적 계약자,independent contractor
독립적 교육 공급자,independent training provider
독점,proprietary
동굴 형상의 부품,cavernous part
동시 사용자,concurrent users
동영상 튜토리얼,video tutorial
동적 애플리케이션 보안 테스트,dynamic application security test
뒷면 발췌,backface cull
등각투영 기호,isometric symbol
등각투영 도면,isometric drawing
등록,sign up
등록 상표,registered trademark
디스플레이 카드,display card
디스플레이스먼트 맵핑,displacement mapping
디자인 검증,design validation
디자인 기초 커리큘럼,Design Basics Curriculum
디자인 시각화,design visualization
디자인 아카데미,Design Academy
디자인 의도,design intent
디자인 토의,design charrette
디자인 혁신,design innovation
디지털 HIG,digital HIG
디지털 고객 라이프사이클,digital customer lifecycle
디지털 모델링,digital modeling
디지털 아티스트,digital artist
디지털 엔터테인먼트 크리에이션,digital entertainment creation
디지털 영상 인터페이스,digital visual interface
디지털 자산 관리,Digital Asset Management
디지털 프로토타이핑,digital prototyping
디지털 프로토타이핑 데이,Digital Prototyping Days
라디오 버튼,radio button
라이브 맵,Live Map
라이센스 계약서,license agreement
라이센스 공급자,license supplier
라이센스 관리,license management
라이센스 관리 도구,license management tool
라이센스 관리자,license manager
라이센스 구문 분석기,License Parser
라이센스 대여,license borrowing
라이센스 및 서비스 계약,License and Services Agreement
라이센스 보고서 요청,License Report Request
라이센스 보유자,license holder
라이센스 비활성 시간 초과,license inactivity timeout
라이센스 사용량,license usage
라이센스 서버 모델,license server model
라이센스 소비량,license consumption
라이센스 양수 양도,Transfer Ownership of Licenses
라이센스 오류,licensing error
라이센스 전송 유틸리티,License Transfer utility
라이센스 준수,license compliance
라이센스 찾기,License Finder
라이센스 키,license key
라이센스 파일 참조,License File Reference
라이센스 파일 해석기,License File Parser
라이센스를 업그레이드하세요,Upgrade your license
래스터 이미지,raster image
랜딩 페이지,landing page
레이블,label
레지스트리 키,registry key
레지스트리 편집기,Registry Editor
렌더 팜,render farm
렌더러,renderer
렌더링,rendering
렌털,rental
렌털 플랜,rental plan
로고,logo
로고타입,logotype
로그온,log on
로그인,sign in
로그인 상세 사항,login details
로그인 자격 증명,login credentials
로그인 지원 문의 양식,Sign-in Help Contact Form
로보틱스 커리큘럼,Robotics Curriculum
로컬 좌표계,local coordinates
루트 디렉토리,root directory
루트 사용자,root user
루틴,routine
리노베이션,renovation
리본,ribbon
리본 상황별 탭,ribbon contextual tab
리소스 로드,resource loading
리소스 센터,Resource Center
리스트 박스,list box
리테일 버전,retail version
린 건설,lean construction
릴리즈 관리,release management
릴리즈 정보,Release Notes
마더보드,motherboard
마법사,wizard
마스킹 영역,masking region
마스터 부트 레코드,Master Boot Record
마스터 서비스 계약,master services agreement
마스터 이미지 파일,master image file
마스터 컴퓨터,master computer
마우스 가운데 버튼,middle mouse button
마우스 드라이버,mouse driver
마우스 커서,mouse cursor
마우스 휠,mouse wheel
마이그레이션 도구,migration tool
마이그레이션 보조 도구,Migration Assistant
마이그레이션 유틸리티,migration utility
마케팅,marketing
마케팅 개발 지원금,market development fund
마케팅 디렉터,Marketing Director
마케팅 리드,marketing qualified lead
마케팅 캠페인,marketing campaign
맞춤법 검사,spell-checking
멀티 터치 제스처,multi-touch gestures
멀티플렉스,Multi-Flex
